combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med
NDX100:LIVE_COMP,1,1000,,,82,0.39,0.366,29.5
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,,,82,0.39,0.585,15.0
NDX100:S25 | SPX500:S21,2,750/750,2000.0,near,82,0.378,0.0,43.0
NDX100:S25 | SPX500:S21,2,750/750,,near,82,0.378,0.0,43.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,2000.0,,82,0.378,0.0,46.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,,,82,0.378,0.0,46.0
NDX100:S25 | US30:L7,2,750/750,2000.0,,82,0.378,0.012,44.0
NDX100:S25 | US30:L7,2,750/750,,,82,0.378,0.012,44.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/1000/500,2000.0,near,82,0.378,0.012,34.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,near,82,0.378,0.012,40.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,,near,82,0.378,0.012,40.0
SPX500:S24 | US30:L7,2,1500/1500,2000.0,,82,0.378,0.39,28.0
SPX500:S24 | US30:L7,2,1500/1500,,,82,0.378,0.39,28.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,2000.0,,82,0.378,0.622,15.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,,,82,0.378,0.622,15.0
SPX500:S21 | NDX100:LIVE_COMP,2,1500/1500,2000.0,,82,0.378,0.622,19.0
SPX500:S21 | NDX100:LIVE_COMP,2,1500/1500,,,82,0.378,0.622,19.0
NDX100:S24 | SPX500:S21,2,750/750,2000.0,near,82,0.366,0.0,42.5
NDX100:S24 | SPX500:S21,2,750/750,,near,82,0.366,0.0,42.5
NDX100:S25 | SPX500:S21,2,500/1000,2000.0,near,82,0.366,0.0,42.5
NDX100:S24 | US30:L7,2,1000/500,2000.0,near,82,0.366,0.0,45.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/1000,2000.0,near,82,0.366,0.0,36.0
SPX500:S24 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.366,0.024,39.0
SPX500:S24 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.366,0.024,39.0
SPX500:S24 | NDX100:LIVE_COMP,2,500/500,,,82,0.366,0.024,39.0
SPX500:S24 | NDX100:LIVE_COMP,2,500/500,,near,82,0.366,0.024,39.0
NDX100:LIVE_COMP,1,750,2000.0,near,82,0.366,0.134,45.0
NDX100:LIVE_COMP,1,750,,near,82,0.366,0.134,45.0
NDX100:S22,1,1500,2000.0,,82,0.366,0.293,27.5
NDX100:S22,1,1500,,,82,0.366,0.293,27.5
SPX500:S21 | US30:L7,2,1500/1500,2000.0,,82,0.366,0.317,34.0
SPX500:S21 | US30:L7,2,1500/1500,,,82,0.366,0.317,34.0
NDX100:S22 | SPX500:S24,2,1000/1000,2000.0,,82,0.366,0.463,23.0
NDX100:S22 | SPX500:S24,2,1000/1000,,,82,0.366,0.463,23.0
NDX100:S25 | SPX500:S42 | US30:L7,3,1500/1500/1500,2000.0,,82,0.366,0.598,15.5
NDX100:S25 | SPX500:S42 | US30:L7,3,1500/1500/1500,,,82,0.366,0.598,15.5
NDX100:S24 | SPX500:S42,2,750/750,2000.0,,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,2000.0,near,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,,,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,,near,82,0.354,0.0,41.0
NDX100:S24,1,1500,2000.0,,82,0.354,0.012,44.0
NDX100:S24,1,1500,,,82,0.354,0.012,44.0
SPX500:S24 | NDX100:L6,2,750/750,2000.0,near,82,0.354,0.037,37.0
SPX500:S24 | NDX100:L6,2,750/750,,near,82,0.354,0.037,37.0
NDX100:LIVE_COMP,1,750,2000.0,,82,0.354,0.122,47.0
NDX100:LIVE_COMP,1,750,,,82,0.354,0.122,47.0
SPX500:S24 | US30:L7,2,1500/1500,2000.0,near,82,0.354,0.402,28.0
SPX500:S24 | US30:L7,2,1500/1500,,near,82,0.354,0.402,28.0
NDX100:S25 | SPX500:S24,2,1500/1500,2000.0,,82,0.354,0.585,14.0
NDX100:S25 | SPX500:S24,2,1500/1500,,,82,0.354,0.585,14.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/500,2000.0,near,82,0.341,0.0,35.5
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,2000.0,near,82,0.341,0.0,45.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,,near,82,0.341,0.0,45.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,,82,0.341,0.024,41.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,,,82,0.341,0.024,41.5
SPX500:S24 | NDX100:L6,2,750/750,2000.0,,82,0.341,0.037,39.5
SPX500:S24 | NDX100:L6,2,750/750,,,82,0.341,0.037,39.5
NDX100:S22 | US30:L7,2,1500/1500,2000.0,near,82,0.341,0.256,33.0
NDX100:S22 | US30:L7,2,1500/1500,,near,82,0.341,0.256,33.0
SPX500:S24 | NDX100:LIVE_COMP,2,1500/1500,2000.0,,82,0.341,0.659,13.5
SPX500:S24 | NDX100:LIVE_COMP,2,1500/1500,,,82,0.341,0.659,13.5
NDX100:S25 | US30:L7,2,750/750,2000.0,near,82,0.329,0.012,39.0
NDX100:S25 | US30:L7,2,750/750,,near,82,0.329,0.012,39.0
SPX500:S24 | NDX100:L6,2,500/1000,2000.0,near,82,0.329,0.024,34.0
SPX500:S24 | US30:L7,2,750/750,2000.0,,82,0.329,0.024,38.0
SPX500:S24 | US30:L7,2,750/750,,,82,0.329,0.024,38.0
NDX100:LIVE_COMP+MA100,1,1000,2000.0,,82,0.329,0.061,30.0
NDX100:LIVE_COMP+MA100,1,1000,,,82,0.329,0.061,30.0
NDX100:S25,1,1000,2000.0,,82,0.329,0.122,34.0
NDX100:S25,1,1000,,,82,0.329,0.122,34.0
SPX500:S24 | US30:L7,2,1000/1000,2000.0,near,82,0.329,0.134,36.0
SPX500:S24 | US30:L7,2,1000/1000,,near,82,0.329,0.134,36.0
NDX100:L6,1,1500,2000.0,,82,0.329,0.207,31.0
NDX100:L6,1,1500,2000.0,near,82,0.329,0.207,30.0
NDX100:L6,1,1500,,,82,0.329,0.207,31.0
NDX100:L6,1,1500,,near,82,0.329,0.207,30.0
NDX100:S24 | SPX500:S21,2,750/750,2000.0,,82,0.317,0.0,45.0
NDX100:S24 | SPX500:S21,2,750/750,,,82,0.317,0.0,45.0
NDX100:S24 | SPX500:S21,2,500/1000,2000.0,near,82,0.317,0.0,44.0
SPX500:S24,1,1000,2000.0,near,82,0.317,0.024,39.5
SPX500:S24,1,1000,,near,82,0.317,0.024,39.5
NDX100:S22 | SPX500:S42,2,750/750,2000.0,near,82,0.317,0.037,37.0
NDX100:S22 | SPX500:S42,2,750/750,,near,82,0.317,0.037,37.0
NDX100:S24 | US30:L7,2,1000/1000,2000.0,near,82,0.317,0.049,43.5
NDX100:S24 | US30:L7,2,1000/1000,,near,82,0.317,0.049,43.5
NDX100:S22 | SPX500:S21,2,1000/1000,2000.0,near,82,0.317,0.195,35.0
NDX100:S22 | SPX500:S21,2,1000/1000,,near,82,0.317,0.195,35.0
NDX100:S22 | SPX500:S24,2,1500/1500,2000.0,,82,0.317,0.61,16.5
NDX100:S22 | SPX500:S24,2,1500/1500,,,82,0.317,0.61,16.5
NDX100:S22 | SPX500:S21,2,750/750,2000.0,,82,0.305,0.012,43.0
NDX100:S22 | SPX500:S21,2,750/750,,,82,0.305,0.012,43.0
SPX500:S42 | NDX100:L6,2,750/750,2000.0,near,82,0.305,0.012,33.0
SPX500:S42 | NDX100:L6,2,750/750,,near,82,0.305,0.012,33.0
SPX500:S24 | US30:L7,2,750/750,2000.0,near,82,0.305,0.012,38.0
SPX500:S24 | US30:L7,2,750/750,,near,82,0.305,0.012,38.0
SPX500:S24,1,1000,2000.0,,82,0.305,0.024,39.0
SPX500:S24,1,1000,,,82,0.305,0.024,39.0
SPX500:S24 | US30:L7,2,1000/500,2000.0,near,82,0.305,0.024,36.0
US30:L7 | NDX100:LIVE_COMP,2,1000/500,2000.0,near,82,0.305,0.024,43.0
SPX500:S42 | NDX100:L6,2,500/1000,2000.0,near,82,0.305,0.037,33.0
SPX500:S24 | NDX100:L6,2,1500/1500,2000.0,,82,0.305,0.646,16.0
SPX500:S24 | NDX100:L6,2,1500/1500,,,82,0.305,0.646,16.0
SPX500:S24 | NDX100:L6,2,1500/1500,2000.0,near,82,0.305,0.659,16.0
SPX500:S24 | NDX100:L6,2,1500/1500,,near,82,0.305,0.659,16.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,2000.0,,82,0.305,0.671,15.0
NDX100:S24 | US30:L7,2,750/750,2000.0,,82,0.293,0.0,46.0
NDX100:S24 | US30:L7,2,750/750,,,82,0.293,0.0,46.0
NDX100:S22 | US30:L7,2,750/750,2000.0,,82,0.293,0.024,40.5
NDX100:S22 | US30:L7,2,750/750,,,82,0.293,0.024,40.5
SPX500:S21 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.293,0.024,48.0
SPX500:S21 | NDX100:LIVE_COMP,2,500/500,,near,82,0.293,0.024,48.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.28,0.0,47.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.28,0.0,47.0
SPX500:S21 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.28,0.024,47.0
SPX500:S21 | NDX100:LIVE_COMP,2,500/500,,,82,0.28,0.024,47.0
NDX100:S22 | SPX500:S42,2,750/750,2000.0,,82,0.28,0.037,34.0
NDX100:S22 | SPX500:S42,2,750/750,,,82,0.28,0.037,34.0
NDX100:S25,1,1000,2000.0,near,82,0.28,0.11,38.0
NDX100:S25,1,1000,,near,82,0.28,0.11,38.0
SPX500:S21 | US30:L7,2,1000/1000,2000.0,,82,0.28,0.134,43.0
SPX500:S21 | US30:L7,2,1000/1000,,,82,0.28,0.134,43.0
NDX100:S22 | SPX500:S42,2,1000/500,2000.0,near,82,0.28,0.171,34.0
NDX100:LIVE_COMP+MA100,1,750,2000.0,,82,0.268,0.0,46.5
NDX100:LIVE_COMP+MA100,1,750,2000.0,near,82,0.268,0.0,45.0
NDX100:LIVE_COMP+MA100,1,750,,,82,0.268,0.0,46.5
NDX100:LIVE_COMP+MA100,1,750,,near,82,0.268,0.0,45.0
NDX100:S25 | US30:L7,2,500/1000,2000.0,near,82,0.268,0.0,40.5
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.268,0.0,37.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.268,0.0,37.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.268,0.0,37.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.268,0.0,37.0
SPX500:S42 | NDX100:L6,2,1000/500,2000.0,near,82,0.268,0.012,31.0
NDX100:S24 | SPX500:S42,2,500/1000,2000.0,near,82,0.256,0.0,46.0
NDX100:S24 | US30:L7,2,750/750,2000.0,near,82,0.256,0.0,47.0
NDX100:S24 | US30:L7,2,750/750,,near,82,0.256,0.0,47.0
NDX100:S22 | SPX500:S21,2,500/1000,2000.0,near,82,0.256,0.0,48.0
NDX100:S22 | SPX500:S24,2,500/500,2000.0,,82,0.256,0.0,36.0
NDX100:S22 | SPX500:S24,2,500/500,,,82,0.256,0.0,36.0
SPX500:S42 | US30:L7,2,1000/1000,2000.0,near,82,0.256,0.0,41.0
SPX500:S42 | US30:L7,2,1000/1000,,near,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,2000.0,,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,2000.0,near,82,0.256,0.0,40.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,,,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,,near,82,0.256,0.0,40.0
SPX500:S42 | NDX100:L6,2,750/750,2000.0,,82,0.256,0.012,31.0
SPX500:S42 | NDX100:L6,2,750/750,,,82,0.256,0.012,31.0
NDX100:L6 | US30:L7,2,1000/1000,2000.0,,82,0.256,0.024,45.0
NDX100:L6 | US30:L7,2,1000/1000,,,82,0.256,0.024,45.0
NDX100:S22,1,1000,2000.0,,82,0.256,0.061,36.0
NDX100:S22,1,1000,,,82,0.256,0.061,36.0
NDX100:S22,1,1500,2000.0,near,82,0.256,0.22,26.0
NDX100:S22,1,1500,,near,82,0.256,0.22,26.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.244,0.0,46.0
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.244,0.0,46.0
SPX500:S21 | NDX100:L6,2,1000/500,2000.0,near,82,0.244,0.0,46.0
NDX100:L6 | US30:L7,2,1000/500,2000.0,near,82,0.244,0.0,47.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/500,2000.0,near,82,0.244,0.0,40.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.244,0.024,42.5
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,,near,82,0.244,0.024,42.5
NDX100:S22 | SPX500:S24,2,500/500,2000.0,near,82,0.232,0.0,38.0
NDX100:S22 | SPX500:S24,2,500/500,,near,82,0.232,0.0,38.0
NDX100:S25,1,750,2000.0,,82,0.232,0.012,41.0
NDX100:S25,1,750,,,82,0.232,0.012,41.0
SPX500:S21 | NDX100:L6,2,750/750,2000.0,,82,0.232,0.012,44.0
SPX500:S21 | NDX100:L6,2,750/750,,,82,0.232,0.012,44.0
NDX100:L6 | US30:L7,2,1000/1000,2000.0,near,82,0.232,0.012,42.0
NDX100:L6 | US30:L7,2,1000/1000,,near,82,0.232,0.012,42.0
SPX500:S24 | US30:L7,2,500/1000,2000.0,near,82,0.232,0.049,40.0
SPX500:S21 | US30:L7,2,1500/1500,2000.0,near,82,0.232,0.293,45.0
SPX500:S21 | US30:L7,2,1500/1500,,near,82,0.232,0.293,45.0
SPX500:S42 | US30:L7,2,1000/1000,2000.0,,82,0.22,0.0,37.0
SPX500:S42 | US30:L7,2,1000/1000,,,82,0.22,0.0,37.0
NDX100:S22 | SPX500:S42,2,500/1000,2000.0,near,82,0.22,0.024,33.5
SPX500:S21 | NDX100:L6,2,750/750,2000.0,near,82,0.22,0.024,45.5
SPX500:S21 | NDX100:L6,2,750/750,,near,82,0.22,0.024,45.5
SPX500:S21 | US30:L7,2,750/750,2000.0,,82,0.22,0.11,42.0
SPX500:S21 | US30:L7,2,750/750,,,82,0.22,0.11,42.0
NDX100:S22 | SPX500:S21,2,1000/500,2000.0,near,82,0.22,0.134,34.5
NDX100:L6,1,1000,2000.0,,82,0.207,0.0,44.0
NDX100:L6,1,1000,2000.0,near,82,0.207,0.0,44.0
NDX100:L6,1,1000,,,82,0.207,0.0,44.0
NDX100:L6,1,1000,,near,82,0.207,0.0,44.0
NDX100:S25 | SPX500:S42,2,500/500,2000.0,near,82,0.207,0.0,39.0
NDX100:S25 | SPX500:S42,2,500/500,,near,82,0.207,0.0,39.0
SPX500:S24 | NDX100:L6,2,500/500,2000.0,near,82,0.207,0.0,36.0
SPX500:S24 | NDX100:L6,2,500/500,,near,82,0.207,0.0,36.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.207,0.024,39.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,,,82,0.207,0.024,39.0
SPX500:S21 | NDX100:L6,2,500/1000,2000.0,near,82,0.207,0.024,44.0
NDX100:S22 | SPX500:S21,2,750/750,2000.0,near,82,0.207,0.037,43.0
NDX100:S22 | SPX500:S21,2,750/750,,near,82,0.207,0.037,43.0
NDX100:S22,1,1000,2000.0,near,82,0.207,0.085,36.0
NDX100:S22,1,1000,,near,82,0.207,0.085,36.0
NDX100:S22,1,750,2000.0,,82,0.195,0.0,34.0
NDX100:S22,1,750,,,82,0.195,0.0,34.0
NDX100:S25,1,750,2000.0,near,82,0.195,0.0,51.0
NDX100:S25,1,750,,near,82,0.195,0.0,51.0
NDX100:S22 | US30:L7,2,1000/500,2000.0,near,82,0.195,0.024,40.0
NDX100:S22 | US30:L7,2,1000/1000,2000.0,near,82,0.195,0.037,44.5
NDX100:S22 | US30:L7,2,1000/1000,,near,82,0.195,0.037,44.5
NDX100:S24,1,1000,2000.0,,82,0.183,0.0,46.0
NDX100:S24,1,1000,2000.0,near,82,0.183,0.0,51.0
NDX100:S24,1,1000,,,82,0.183,0.0,46.0
NDX100:S24,1,1000,,near,82,0.183,0.0,51.0
NDX100:S25 | SPX500:S42,2,500/500,2000.0,,82,0.183,0.0,37.0
NDX100:S25 | SPX500:S42,2,500/500,,,82,0.183,0.0,37.0
NDX100:S25 | SPX500:S21,2,500/500,2000.0,near,82,0.183,0.0,49.0
NDX100:S25 | SPX500:S21,2,500/500,,near,82,0.183,0.0,49.0
NDX100:S24 | SPX500:S24,2,500/500,2000.0,near,82,0.183,0.0,47.0
NDX100:S24 | SPX500:S24,2,500/500,,near,82,0.183,0.0,47.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.183,0.0,38.0
SPX500:S24 | NDX100:L6,2,500/500,2000.0,,82,0.183,0.0,34.0
SPX500:S24 | NDX100:L6,2,500/500,,,82,0.183,0.0,34.0
SPX500:S21,1,1500,2000.0,,82,0.183,0.073,38.0
SPX500:S21,1,1500,,,82,0.183,0.073,38.0
NDX100:S25 | US30:L7,2,500/500,2000.0,,82,0.171,0.0,41.5
NDX100:S25 | US30:L7,2,500/500,,,82,0.171,0.0,41.5
NDX100:S24 | SPX500:S24,2,500/500,2000.0,,82,0.171,0.0,46.5
NDX100:S24 | SPX500:S24,2,500/500,,,82,0.171,0.0,46.5
SPX500:S42 | US30:L7,2,1000/500,2000.0,near,82,0.171,0.0,47.5
SPX500:S42,1,1500,2000.0,near,82,0.171,0.024,31.5
SPX500:S42,1,1500,,near,82,0.171,0.024,31.5
NDX100:S24 | US30:L7,2,500/1000,2000.0,near,82,0.171,0.061,42.5
NDX100:S22,1,750,2000.0,near,82,0.159,0.0,43.0
NDX100:S22,1,750,,near,82,0.159,0.0,43.0
SPX500:S24,1,750,2000.0,near,82,0.159,0.0,36.0
SPX500:S24,1,750,,near,82,0.159,0.0,36.0
NDX100:S25 | SPX500:S21,2,500/500,2000.0,,82,0.159,0.0,45.0
NDX100:S25 | SPX500:S21,2,500/500,,,82,0.159,0.0,45.0
NDX100:S22 | SPX500:S42,2,500/500,2000.0,,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,2000.0,near,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,,,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,,near,82,0.159,0.0,38.0
SPX500:S42 | US30:L7,2,750/750,2000.0,,82,0.159,0.0,46.0
SPX500:S42 | US30:L7,2,750/750,,,82,0.159,0.0,46.0
SPX500:S21 | US30:L7,2,1000/1000,2000.0,near,82,0.159,0.134,46.0
SPX500:S21 | US30:L7,2,1000/1000,,near,82,0.159,0.134,46.0
SPX500:S42 | US30:L7,2,750/750,2000.0,near,82,0.146,0.0,51.0
SPX500:S42 | US30:L7,2,750/750,,near,82,0.146,0.0,51.0
SPX500:S42 | US30:L7,2,500/1000,2000.0,near,82,0.146,0.0,50.5
NDX100:L6 | US30:L7,2,750/750,2000.0,near,82,0.146,0.0,43.5
NDX100:L6 | US30:L7,2,750/750,,near,82,0.146,0.0,43.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.146,0.0,52.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.146,0.0,52.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.146,0.024,53.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,,,82,0.146,0.024,53.0
NDX100:S25 | US30:L7,2,500/500,2000.0,near,82,0.134,0.0,51.0
NDX100:S25 | US30:L7,2,500/500,,near,82,0.134,0.0,51.0
NDX100:L6 | US30:L7,2,750/750,2000.0,,82,0.134,0.0,43.0
NDX100:L6 | US30:L7,2,750/750,,,82,0.134,0.0,43.0
NDX100:S22 | US30:L7,2,750/750,2000.0,near,82,0.134,0.012,43.0
NDX100:S22 | US30:L7,2,750/750,,near,82,0.134,0.012,43.0
US30:L7,1,1500,2000.0,,82,0.134,0.317,43.0
US30:L7,1,1500,,,82,0.134,0.317,43.0
SPX500:S24,1,750,2000.0,,82,0.122,0.0,32.5
SPX500:S24,1,750,,,82,0.122,0.0,32.5
SPX500:S24 | US30:L7,2,500/500,2000.0,near,82,0.122,0.0,53.0
SPX500:S24 | US30:L7,2,500/500,,near,82,0.122,0.0,53.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.122,0.0,52.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.122,0.0,52.0
SPX500:S42,1,1500,2000.0,,82,0.122,0.024,22.5
SPX500:S42,1,1500,,,82,0.122,0.024,22.5
SPX500:S42 | NDX100:L6,2,500/500,2000.0,,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,2000.0,near,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,,,82,0.11,0.0,39.0
SPX500:S42 | NDX100:L6,2,500/500,,near,82,0.11,0.0,39.0
SPX500:S24 | US30:L7,2,500/500,2000.0,,82,0.11,0.0,53.0
SPX500:S24 | US30:L7,2,500/500,,,82,0.11,0.0,53.0
NDX100:LIVE_COMP+MA100,1,500,2000.0,near,82,0.098,0.0,45.0
NDX100:LIVE_COMP+MA100,1,500,,near,82,0.098,0.0,45.0
NDX100:S24 | SPX500:S21,2,500/500,2000.0,,82,0.098,0.0,49.0
NDX100:S24 | SPX500:S21,2,500/500,,,82,0.098,0.0,49.0
NDX100:L6 | US30:L7,2,500/1000,2000.0,near,82,0.098,0.0,40.5
NDX100:LIVE_COMP,1,500,2000.0,near,82,0.098,0.024,45.0
NDX100:LIVE_COMP,1,500,,near,82,0.098,0.024,45.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.098,0.024,50.5
US30:L7 | NDX100:LIVE_COMP,2,500/500,,near,82,0.098,0.024,50.5
SPX500:S21,1,1500,2000.0,near,82,0.098,0.073,41.5
SPX500:S21,1,1500,,near,82,0.098,0.073,41.5
SPX500:S21 | US30:L7,2,1000/500,2000.0,near,82,0.098,0.073,38.5
NDX100:S22,1,500,2000.0,,82,0.085,0.0,43.0
NDX100:S22,1,500,,,82,0.085,0.0,43.0
SPX500:S42,1,1000,2000.0,,82,0.085,0.0,30.0
SPX500:S42,1,1000,2000.0,near,82,0.085,0.0,30.0
SPX500:S42,1,1000,,,82,0.085,0.0,30.0
SPX500:S42,1,1000,,near,82,0.085,0.0,30.0
NDX100:L6,1,750,2000.0,,82,0.085,0.0,54.0
NDX100:L6,1,750,2000.0,near,82,0.085,0.0,54.0
NDX100:L6,1,750,,,82,0.085,0.0,54.0
NDX100:L6,1,750,,near,82,0.085,0.0,54.0
NDX100:S24 | SPX500:S42,2,500/500,2000.0,,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,2000.0,near,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,,,82,0.085,0.0,47.0
NDX100:S24 | SPX500:S42,2,500/500,,near,82,0.085,0.0,47.0
NDX100:S22 | SPX500:S21,2,500/500,2000.0,,82,0.085,0.0,44.0
NDX100:S22 | SPX500:S21,2,500/500,2000.0,near,82,0.085,0.0,44.0
NDX100:S22 | SPX500:S21,2,500/500,,,82,0.085,0.0,44.0
NDX100:S22 | SPX500:S21,2,500/500,,near,82,0.085,0.0,44.0
NDX100:S22,1,500,2000.0,near,82,0.073,0.0,43.5
NDX100:S22,1,500,,near,82,0.073,0.0,43.5
SPX500:S42,1,750,2000.0,near,82,0.073,0.0,44.0
SPX500:S42,1,750,,near,82,0.073,0.0,44.0
NDX100:S25,1,500,2000.0,,82,0.073,0.0,50.0
NDX100:S25,1,500,,,82,0.073,0.0,50.0
NDX100:S24 | SPX500:S21,2,500/500,2000.0,near,82,0.073,0.0,51.5
NDX100:S24 | SPX500:S21,2,500/500,,near,82,0.073,0.0,51.5
NDX100:S22 | US30:L7,2,500/1000,2000.0,near,82,0.073,0.0,45.5
SPX500:S21 | US30:L7,2,750/750,2000.0,near,82,0.073,0.11,48.5
SPX500:S21 | US30:L7,2,750/750,,near,82,0.073,0.11,48.5
SPX500:S21 | US30:L7,2,500/1000,2000.0,near,82,0.073,0.11,48.5
NDX100:S25,1,500,2000.0,near,82,0.061,0.0,46.0
NDX100:S25,1,500,,near,82,0.061,0.0,46.0
NDX100:LIVE_COMP+MA100,1,500,2000.0,,82,0.061,0.0,46.0
NDX100:LIVE_COMP+MA100,1,500,,,82,0.061,0.0,46.0
NDX100:S24 | US30:L7,2,500/500,2000.0,,82,0.061,0.0,56.0
NDX100:S24 | US30:L7,2,500/500,,,82,0.061,0.0,56.0
NDX100:LIVE_COMP,1,500,2000.0,,82,0.061,0.024,46.0
NDX100:LIVE_COMP,1,500,,,82,0.061,0.024,46.0
SPX500:S21 | US30:L7,2,500/500,2000.0,,82,0.061,0.024,48.0
SPX500:S21 | US30:L7,2,500/500,,,82,0.061,0.024,48.0
US30:L7,1,1000,2000.0,,82,0.061,0.098,54.0
US30:L7,1,1000,,,82,0.061,0.098,54.0
SPX500:S42,1,750,2000.0,,82,0.049,0.0,41.5
SPX500:S42,1,750,,,82,0.049,0.0,41.5
NDX100:S22 | US30:L7,2,500/500,2000.0,,82,0.049,0.0,36.5
NDX100:S22 | US30:L7,2,500/500,2000.0,near,82,0.049,0.0,48.5
NDX100:S22 | US30:L7,2,500/500,,,82,0.049,0.0,36.5
NDX100:S22 | US30:L7,2,500/500,,near,82,0.049,0.0,48.5
NDX100:S24,1,750,2000.0,,82,0.037,0.0,52.0
NDX100:S24,1,750,2000.0,near,82,0.037,0.0,52.0
NDX100:S24,1,750,,,82,0.037,0.0,52.0
NDX100:S24,1,750,,near,82,0.037,0.0,52.0
SPX500:S21,1,1000,2000.0,,82,0.037,0.0,54.0
SPX500:S21,1,1000,2000.0,near,82,0.037,0.0,54.0
SPX500:S21,1,1000,,,82,0.037,0.0,54.0
SPX500:S21,1,1000,,near,82,0.037,0.0,54.0
NDX100:S24 | US30:L7,2,500/500,2000.0,near,82,0.037,0.0,56.0
NDX100:S24 | US30:L7,2,500/500,,near,82,0.037,0.0,56.0
SPX500:S21 | NDX100:L6,2,500/500,2000.0,,82,0.037,0.0,38.0
SPX500:S21 | NDX100:L6,2,500/500,2000.0,near,82,0.037,0.0,38.0
SPX500:S21 | NDX100:L6,2,500/500,,,82,0.037,0.0,38.0
SPX500:S21 | NDX100:L6,2,500/500,,near,82,0.037,0.0,38.0
