baseline,risk,breaker,smart,train_cohorts,train_passed,train_failed,train_open,train_pass_rate,train_med_days,train_fail_daily,train_fail_max,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day
DISP_FV+MA100,750,2000.0,near,76,33,38,5,0.465,35.0,0,38,94,32,59,3,0.352,27.5,0,59,9,1,5,3,0.167,8.0,0,5,185.8,78.2,107.3
DISP_FV+MA100,750,,,76,24,51,1,0.32,34.0,31,20,94,21,72,1,0.226,33.0,38,34,9,0,6,3,0.0,,6,0,184.4,583.5,-8.6
DISP_FV+MA100,750,,near,76,27,48,1,0.36,32.0,28,20,94,30,63,1,0.323,29.5,29,34,9,0,6,3,0.0,,6,0,184.4,583.5,-8.6
DISP_FV+MA100,1000,2000.0,,76,31,43,2,0.419,28.0,0,43,94,46,46,2,0.5,31.5,0,46,9,0,6,3,0.0,,0,6,345.4,269.4,571.8
DISP_FV+MA100,1000,2000.0,near,76,35,39,2,0.473,22.0,0,39,94,50,42,2,0.543,23.0,0,42,9,1,5,3,0.167,8.0,0,5,345.4,269.4,571.8
DISP_FV+MA100,1000,,,76,18,57,1,0.24,28.5,43,14,94,17,76,1,0.183,37.0,62,14,9,0,8,1,0.0,,7,1,246.0,778.0,-11.3
DISP_FV+MA100,1000,,near,76,25,50,1,0.333,27.0,34,16,94,35,58,1,0.376,26.0,39,19,9,0,8,1,0.0,,7,1,246.0,778.0,-11.3
DISP_FV+MA100,1500,2000.0,,76,27,48,1,0.36,19.0,17,31,94,26,67,1,0.28,18.5,24,43,9,0,6,3,0.0,,2,4,518.1,421.8,857.7
DISP_FV+MA100,1500,2000.0,near,76,33,42,1,0.44,18.0,8,34,94,41,52,1,0.441,17.0,14,38,9,3,3,3,0.5,10.0,0,3,518.1,421.8,857.7
DISP_FV+MA100,1500,,,76,18,57,1,0.24,20.5,45,12,94,20,73,1,0.215,23.5,56,17,9,0,8,1,0.0,,7,1,368.9,1167.0,-17.1
DISP_FV+MA100,1500,,near,76,28,47,1,0.373,17.5,30,17,94,30,63,1,0.323,16.5,39,24,9,0,8,1,0.0,,7,1,368.9,1167.0,-17.1
DISP_FV+MA100,2000,2000.0,,76,14,62,0,0.184,15.0,27,35,94,22,72,0,0.234,18.0,22,50,9,0,8,1,0.0,,0,8,596.6,-32.4,774.9
DISP_FV+MA100,2000,2000.0,near,76,25,51,0,0.329,11.0,6,45,94,36,58,0,0.383,15.0,10,48,9,1,7,1,0.125,10.0,1,6,596.6,-32.4,774.9
DISP_FV+MA100,2000,,,76,6,70,0,0.079,15.0,51,19,94,7,87,0,0.074,18.0,65,22,9,0,8,1,0.0,,8,0,491.9,1556.0,-22.7
DISP_FV+MA100,2000,,near,76,17,59,0,0.224,10.0,37,22,94,18,76,0,0.191,10.0,51,25,9,0,8,1,0.0,,8,0,491.9,1556.0,-22.7
