combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max
"{""ASIA"": null, ""LDN"": 2, ""NY"": 4}",250,,,,0.93,36584,76,48,0,28,1.0,143.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",500,4000.0,,,0.66,61810,76,47,0,29,1.0,108.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",500,2000.0,,,0.74,62801,76,47,0,29,1.0,94.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",500,,,,0.74,62801,76,47,0,29,1.0,94.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",750,3000.0,,near,0.81,93477,76,47,0,29,1.0,60.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",750,2000.0,,,0.64,70503,76,47,0,29,1.0,84.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",500,4000.0,,near,0.66,54026,76,47,0,29,1.0,104.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",750,4000.0,,,0.66,73850,76,47,0,29,1.0,73.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",750,4000.0,,near,0.66,73850,76,47,0,29,1.0,74.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 7}",250,4000.0,,near,1.17,43915,76,47,0,29,1.0,120.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 2}",250,2000.0,,,0.9,29771,76,47,0,29,1.0,145.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 2}",250,2000.0,,near,0.9,29771,76,47,0,29,1.0,145.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 2}",250,,,near,0.91,29180,76,47,0,29,1.0,145.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,3000.0,,,0.64,47002,76,46,0,30,1.0,132.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,3000.0,,near,0.64,47002,76,46,0,30,1.0,120.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,,,,0.64,47002,76,46,0,30,1.0,132.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,,,near,0.64,47002,76,46,0,30,1.0,120.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,4000.0,,,0.64,47002,76,46,0,30,1.0,132.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,4000.0,,near,0.64,47002,76,46,0,30,1.0,120.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,2000.0,,,0.64,47002,76,46,0,30,1.0,132.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",500,2000.0,,near,0.64,47002,76,46,0,30,1.0,120.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",500,4000.0,,,0.66,54026,76,46,0,30,1.0,102.5,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 7}",250,4000.0,,,1.17,43915,76,46,0,30,1.0,143.5,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 2}",250,,,,0.91,29180,76,46,0,30,1.0,143.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 0}",250,,,,1.24,42692,76,45,0,31,1.0,137.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 0}",250,,,near,1.24,42692,76,45,0,31,1.0,117.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,3000.0,,,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,3000.0,,near,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,4000.0,,,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,4000.0,,near,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,3000.0,,,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,3000.0,,near,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,,,,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 1}",250,,,near,1.11,42046,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 2}",250,,,,1.05,34813,76,45,0,31,1.0,148.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 2}",250,,,near,1.05,34813,76,45,0,31,1.0,148.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 2}",250,,,,1.05,34813,76,45,0,31,1.0,148.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 2}",250,,,near,1.05,34813,76,45,0,31,1.0,148.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 8}",250,3000.0,,,1.07,38325,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 8}",250,3000.0,,near,1.07,38325,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,2000.0,,,1.08,38162,76,45,0,31,1.0,198.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,2000.0,,near,1.08,38162,76,45,0,31,1.0,187.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,,,,1.1,43991,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,,,near,1.1,43991,76,45,0,31,1.0,123.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,3000.0,,,1.1,43991,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,3000.0,,near,1.1,43991,76,45,0,31,1.0,123.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,,,,1.1,43991,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 10}",250,,,near,1.1,43991,76,45,0,31,1.0,123.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,4000.0,,,1.07,42217,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,4000.0,,near,1.07,42217,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,3000.0,,,1.07,42217,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,3000.0,,near,1.07,42217,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,3000.0,,,1.07,42217,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,3000.0,,near,1.07,42217,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,,,,1.07,42217,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 4}",250,,,near,1.07,42217,76,45,0,31,1.0,141.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 6}",250,,,,1.16,42709,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 6}",250,,,near,1.16,42709,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 6}",250,4000.0,,,1.16,42709,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 6}",250,4000.0,,near,1.16,42709,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 2}",250,4000.0,,,1.07,33718,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 2}",250,4000.0,,near,1.07,33718,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,,,,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,,,near,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,3000.0,,,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,3000.0,,near,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,4000.0,,,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 0, ""NY"": 11}",250,4000.0,,near,1.08,35927,76,45,0,31,1.0,146.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,2000.0,,,1.11,43191,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,2000.0,,near,1.11,43191,76,45,0,31,1.0,121.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,3000.0,,,1.11,42896,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,3000.0,,near,1.11,42896,76,45,0,31,1.0,121.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,4000.0,,,1.11,42896,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,4000.0,,near,1.11,42896,76,45,0,31,1.0,121.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,4000.0,,,1.11,42896,76,45,0,31,1.0,122.0,0,0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 10}",250,4000.0,,near,1.11,42896,76,45,0,31,1.0,121.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 11}",250,3000.0,,,0.93,30294,76,45,0,31,1.0,150.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 11}",250,3000.0,,near,0.93,30294,76,45,0,31,1.0,150.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 11}",250,3000.0,,,0.93,30294,76,45,0,31,1.0,150.0,0,0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 11}",250,3000.0,,near,0.93,30294,76,45,0,31,1.0,150.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,2000.0,,,0.81,62318,76,43,0,33,1.0,88.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,2000.0,,near,0.81,62318,76,43,0,33,1.0,84.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,,,,0.82,62761,76,43,0,33,1.0,88.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,,,near,0.82,62761,76,43,0,33,1.0,84.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,3000.0,,,0.82,62761,76,43,0,33,1.0,88.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,3000.0,,near,0.82,62761,76,43,0,33,1.0,84.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,2000.0,,,0.81,62318,76,43,0,33,1.0,88.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",500,2000.0,,near,0.81,62318,76,43,0,33,1.0,84.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 9}",500,,,near,0.82,55321,76,43,0,33,1.0,80.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 9}",500,4000.0,,near,0.82,55321,76,43,0,33,1.0,80.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,4000.0,,,0.66,49234,76,43,0,33,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,4000.0,,near,0.66,49234,76,43,0,33,1.0,117.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,4000.0,,,0.66,49234,76,43,0,33,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,4000.0,,near,0.66,49234,76,43,0,33,1.0,117.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,2000.0,,,0.66,49234,76,43,0,33,1.0,133.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",500,2000.0,,near,0.66,49234,76,43,0,33,1.0,117.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 9}",500,,,,0.82,55321,76,42,0,34,1.0,80.0,0,0
